Team,Week,opponent,spread,score,diff,Year,spreadscore,coverprob,predspread,order,coverprob_diff,predspread_diff
Cincinnati Bengals,5,Arizona Cardinals,-3.0,,,2023,,0.511229932308197,-3.2809371948242188,8.0,-0.07490241527557373,-5.216702342033386
Cleveland Browns,5,,,,,2023,,0.5792113542556763,1.6061259508132935,,,
Dallas Cowboys,5,San Francisco 49ers,3.5,,,2023,,0.4077763259410858,0.6189301013946533,12.0,-0.04293555021286011,-2.819789409637451
Denver Broncos,5,New York Jets,-1.5,,,2023,,0.4300518333911896,-7.779247283935547,10.0,-0.14982321858406067,2.0054264068603516
Detroit Lions,5,Carolina Panthers,-10.0,,,2023,,0.5071086287498474,-6.537355899810791,4.0,0.06936925649642944,-4.1446099281311035
Green Bay Packers,5,Las Vegas Raiders,-1.0,,,2023,,0.5339789986610413,3.3639659881591797,13.0,-0.03197956085205078,5.867362022399902
Houston Texans,5,Atlanta Falcons,2.0,,,2023,,0.52994304895401,-5.05999231338501,2.0,0.024150311946868896,-4.882254704833031
Indianapolis Colts,5,Tennessee Titans,2.5,,,2023,,0.5491184592247009,1.1653178930282593,5.0,0.04936617612838745,-5.085550904273987
Jacksonville Jaguars,5,Buffalo Bills,5.5,,,2023,,0.36765816807746887,-0.13624200224876404,1.0,-0.09285655617713928,3.3380095064640045
Kansas City Chiefs,5,Minnesota Vikings,-4.0,,,2023,,0.6157868504524231,-3.894953727722168,11.0,0.22753989696502686,-6.700383186340332
Las Vegas Raiders,5,Green Bay Packers,1.0,,,2023,,0.565958559513092,-2.5033960342407227,13.0,0.03197956085205078,-5.867362022399902
Los Angeles Chargers,5,,,,,2023,,0.5204361081123352,-3.705684185028076,,,
Los Angeles Rams,5,Philadelphia Eagles,4.5,,,2023,,0.4376137852668762,-5.864906311035156,9.0,-0.11657112836837769,-7.79586136341095
Miami Dolphins,5,New York Giants,-10.5,,,2023,,0.6053103804588318,0.35409867763519287,6.0,0.11668643355369568,-2.439198613166809
Minnesota Vikings,5,Kansas City Chiefs,4.0,,,2023,,0.38824695348739624,2.805429458618164,11.0,-0.22753989696502686,6.700383186340332
New England Patriots,5,New Orleans Saints,1.0,,,2023,,0.5280687212944031,1.3643505573272705,7.0,-0.007237434387207031,5.564331769943237
New Orleans Saints,5,New England Patriots,-1.0,,,2023,,0.5353061556816101,-4.199981212615967,7.0,0.007237434387207031,-5.564331769943237
New York Giants,5,Miami Dolphins,10.5,,,2023,,0.4886239469051361,2.793297290802002,6.0,-0.11668643355369568,2.439198613166809
New York Jets,5,Denver Broncos,1.5,,,2023,,0.5798750519752502,-9.784673690795898,10.0,0.14982321858406067,-2.0054264068603516
Philadelphia Eagles,5,Los Angeles Rams,-4.5,,,2023,,0.5541849136352539,1.9309550523757935,9.0,0.11657112836837769,7.79586136341095
Pittsburgh Steelers,5,Baltimore Ravens,4.0,,,2023,,0.5352438688278198,-1.826236367225647,3.0,0.04296135902404785,-2.1641145050525665
San Francisco 49ers,5,Dallas Cowboys,-3.5,,,2023,,0.4507118761539459,3.4387195110321045,12.0,0.04293555021286011,2.819789409637451
Seattle Seahawks,5,,,,,2023,,0.349774032831192,-7.569415092468262,,,
Tampa Bay Buccaneers,5,,,,,2023,,0.5066977739334106,2.4351205825805664,,,
Tennessee Titans,5,Indianapolis Colts,-2.5,,,2023,,0.4997522830963135,6.250868797302246,5.0,-0.04936617612838745,5.085550904273987
Washington Commanders,5,Chicago Bears,-6.0,,,2023,,0.43232718110084534,1.7028084993362427,0.0,-0.047405362129211426,-2.390445113182068
